Area,DateTime,Capacity,Installations
Albany (C),06-01-2006,0,0
Albany (C),07-01-2006,0,0
Albany (C),08-01-2006,0,0
Albany (C),09-01-2006,0,0
Albany (C),10-01-2006,0,0
Albany (C),11-01-2006,0,0
Albany (C),12-01-2006,0,0
Albany (C),01-01-2007,0,0
Albany (C),02-01-2007,0,0
Albany (C),03-01-2007,0,0
Albany (C),04-01-2007,0,0
Albany (C),05-01-2007,0,0
Albany (C),06-01-2007,0,0
Albany (C),07-01-2007,2.1,1
Albany (C),08-01-2007,3.1,2
Albany (C),09-01-2007,0,0
Albany (C),10-01-2007,3.1,1
Albany (C),11-01-2007,4.105405407,2.067567568
Albany (C),12-01-2007,4.7,1
Albany (C),01-01-2008,0.141891893,0.067567568
Albany (C),02-01-2008,1.05,1
Albany (C),03-01-2008,0,0
Albany (C),04-01-2008,0.209459461,0.067567568
Albany (C),05-01-2008,8.28,5
Albany (C),06-01-2008,0,0
Albany (C),07-01-2008,0,0
Albany (C),08-01-2008,4.9,1
Albany (C),09-01-2008,7.53,4
Albany (C),10-01-2008,12.16,3
Albany (C),11-01-2008,9.79,3
Albany (C),12-01-2008,23.84,5
Albany (C),01-01-2009,0,0
Albany (C),02-01-2009,1.05,1
Albany (C),03-01-2009,4.66,4
Albany (C),04-01-2009,9.934729732,4.135135136
Albany (C),05-01-2009,9,4
Albany (C),06-01-2009,4.21,3
Albany (C),07-01-2009,9.78,5
Albany (C),08-01-2009,11.88,7
Albany (C),09-01-2009,18.48,9
Albany (C),10-01-2009,6.18,5
Albany (C),11-01-2009,28.8645946,17.33783784
Albany (C),12-01-2009,9.41,6
Albany (C),01-01-2010,20.93986487,15.13513514
Albany (C),02-01-2010,11.31,6
Albany (C),03-01-2010,4.46,3
Albany (C),04-01-2010,0,0
Albany (C),05-01-2010,10.36202703,4.067567568
Albany (C),06-01-2010,36.97,12
Albany (C),07-01-2010,11.05,4
Albany (C),08-01-2010,40.86364865,14.27027027
Albany (C),09-01-2010,39.89021623,17.33783784
Albany (C),10-01-2010,59.35364865,26.2027027
Albany (C),11-01-2010,47.41594595,19.13513514
Albany (C),12-01-2010,44.39351352,19.13513514
Albany (C),01-01-2011,71.11405406,30.2027027
Albany (C),02-01-2011,114.7327027,47.06756757
Albany (C),03-01-2011,79.74554054,30.06756757
Albany (C),04-01-2011,87.43854054,38.13513514
Albany (C),05-01-2011,137.9375135,49.33783784
Albany (C),06-01-2011,287.0527568,103.8783784
Albany (C),07-01-2011,103.312027,45.33783784
Albany (C),08-01-2011,147.4185946,62.27027027
Albany (C),09-01-2011,229.0142703,99.47297298
Albany (C),10-01-2011,54.50648649,26.2027027
Albany (C),11-01-2011,89.13140541,45.13513514
Albany (C),12-01-2011,55.071,30
Albany (C),01-01-2012,71.11405406,30.2027027
Albany (C),02-01-2012,114.7327027,47.06756757
