"Area","a0","a1","a2"
"Albany (C)",1.2827355800595,4.63632517319851e-15,1.28485168051988
"Armadale (C)",2.58621072122545,0.458110281109786,0.425725998839739
"Augusta-Margaret River (S)",1.81301554493195,0.578705017529145,0.111506360753253
"Bassendean (T)",0.682785903207582,1.12857835777962,6.67350046625992e-15
"Bayswater (C)",2.56207641029513,0.435282099186162,0.380931721225708
"Belmont (C)",6.77594332290917,0.238464862580246,0.056628695706438
"Beverley (S)",1.16909356718631,0.298408072655497,1.21321712597753e-14
"Boddington (S)",0.936953744627126,1.02200104822e-14,0.146573532344293
"Boyup Brook (S)",0.788132404723315,0.19241528792068,0.0258195903790994
"Bridgetown-Greenbushes (S)",3.05418714454841,0.0770181714639357,6.1477748491801e-14
"Brookton (S)",0.38806631589779,0.0963788680084257,9.73433569406523e-15
"Broomehill-Tambellup (S)",0.0796953410285727,0.478196729280471,0.0470045993235603
"Bruce Rock (S)",0.400365513625335,0.0433970177233148,4.89011281145978e-15
"Bunbury (C)",4.23150390861228,0.292042221639054,0.328288779772343
"Busselton (C)",2.08245661121311,0.573044279634352,0.275533469181003
"Cambridge (T)",2.02312130168622,1.11096046131045,3.27907733302936e-14
"Canning (C)",4.51055812137487,0.441762390674499,0.328976507264196
"Capel (S)",0.733190227253218,1.3154567464517,2.2288199041871e-14
"Carnamah (S)",2.85341603385556,0.0440662443492225,8.22247538966072e-14
"Chapman Valley (S)",0.274480999410529,0.154084963312065,0.427255900683571
"Chittering (S)",3.77458647153457,0.373383091517982,5.55972392671916e-15
"Claremont (T)",2.78644099485829,2.50017287821113e-15,0.458864098534316
"Cockburn (C)",4.26405386334724,0.557113259188089,0.253324792275973
"Collie (S)",1.58750377349649,0.599726999737473,7.68738568417956e-15
"Coolgardie (S)",0.272861950911971,0.237195900315787,0.629567764166394
"Coorow (S)",0.633370279331358,0.0456114778769217,0.0180032167117374
"Corrigin (S)",1.61205962092413,4.69456951225382e-15,0.0690476099889249
"Cottesloe (T)",0.481139984425318,0.598691448235056,0.227370238209737
"Cranbrook (S)",1.90968492561561,2.36441629679154e-14,0.0588895961330602
"Cuballing (S)",0.287792156286229,0.0527002339624857,1.77327385446639e-15
"Cunderdin (S)",0.382936344133424,0.227463988892536,0.0182728456277492
"Dalwallinu (S)",0.16566801841805,0.0850681552558533,0.752236830888871
"Dandaragan (S)",1.24178795432261,0.317863698716179,0.303297468743571
"Dardanup (S)",3.11184000394346,0.366215941173399,0.218163633828211
"Denmark (S)",1.18961626602071,1.05213888455007,7.42368517073876e-17
"Donnybrook-Balingup (S)",2.67305572429174,5.15923453197731e-14,0.669165026925079
"Dowerin (S)",0.223679197608632,7.72557783082168e-16,0.0700531269257483
"Dumbleyung (S)",0.865178059467092,0.327746771420751,0.0839659733407
"East Fremantle (T)",1.24390786442438,0.796930298626479,2.14265930330434e-14
"Fremantle (C)",0.522427926672573,1.26902660801495,4.28623177860787e-15
"Gingin (S)",3.30721681378137,0.619937759299565,5.76519258208867e-15
"Gnowangerup (S)",0.557882581929194,0.051359986359182,1.64060025514826e-14
"Goomalling (S)",0.778186569968495,0.048419555182691,2.14253563035069e-15
"Gosnells (C)",4.89095892730575,0.525936101077498,0.254094826250941
"Greater Geraldton (C)",0.555059837596046,1.3605364856452,1.89227222177847e-14
"Harvey (S)",0.624465593882642,1.34355490811505,1.55752920443248e-15
"Irwin (S)",1.10774216263481,0.358643225508735,0.196320150060295
"Jerramungup (S)",0.518436767804647,7.87124392593341e-15,0.0802211454457415
"Joondalup (C)",3.72674263300021,0.609453832610841,0.245594891200145
"Kalamunda (S)",4.21452114689505,0.414457718065249,0.321842675846444
"Kalgoorlie-Boulder (C)",4.55188124551857,0.697989455207821,1.45933534721059e-13
"Katanning (S)",1.01126864651851,0.271896613448696,1.12771895588362e-15
"Kellerberrin (S)",0.248981377268379,0.141093479254688,0.116437399594364
"Kent (S)",0.022826574244493,6.31432320564537e-16,6.38480589349434e-16
"Kojonup (S)",0.604280832945571,0.177413429301871,1.15248784231084e-14
"Kondinin (S)",0.107938169853972,0.408366699374066,0.108299129851258
"Koorda (S)",0.0802679458562146,0.0256688526308886,6.01669635217762e-16
"Kulin (S)",0.461900648911968,0.0793886316794258,0.139482703198101
"Kwinana (C)",0.408386979001528,1.19850290744767,1.03762723553444e-14
"Lake Grace (S)",0.186407889053312,0.139809896319607,0.102669571726653
"Mandurah (C)",0.180645272657348,1.11457026314281,4.84473157563216e-15
